symbol,rows_trained,epochs_run,final_loss,dataset_start,dataset_end,session_pnl,total_pnl
TATAELXSI,117,6,0.007411,2025-04-17 00:00:00,2025-10-03 00:00:00,0,0.0
TATAELXSI,117,10,0.005228,2025-04-17 00:00:00,2025-10-03 00:00:00,0,0.0
TATAELXSI,117,5,0.004358,1970-01-01 00:00:00,1970-01-01 00:00:00.000000116,0,0.0
TATAELXSI,117,10,0.005152,1970-01-01 00:00:00,1970-01-01 00:00:00.000000116,0,0.0
BHARTIARTL,117,4,0.008753,1970-01-01 00:00:00,1970-01-01 00:00:00.000000116,0,0.0
HDFCBANK,117,10,0.008901,1970-01-01 00:00:00,1970-01-01 00:00:00.000000116,0,0.0
INFY,117,9,0.008063,1970-01-01 00:00:00,1970-01-01 00:00:00.000000116,0,0.0
ITC,117,7,0.006939,1970-01-01 00:00:00,1970-01-01 00:00:00.000000116,0,0.0
TATAELXSI,117,9,0.00583,1970-01-01 00:00:00,1970-01-01 00:00:00.000000116,0,0.0
BHARTIARTL,117,4,0.008749,1970-01-01 00:00:00,1970-01-01 00:00:00.000000116,0,0.0
HDFCBANK,117,8,0.012394,1970-01-01 00:00:00,1970-01-01 00:00:00.000000116,0,0.0
INFY,117,7,0.007839,1970-01-01 00:00:00,1970-01-01 00:00:00.000000116,0,0.0
ITC,117,6,0.006169,1970-01-01 00:00:00,1970-01-01 00:00:00.000000116,0,0.0
TATAELXSI,117,5,0.005968,1970-01-01 00:00:00,1970-01-01 00:00:00.000000116,0,0.0
BHARTIARTL,117,10,0.00809,1970-01-01,1970-01-01 00:00:00.000000116,0,0.0
HDFCBANK,117,9,0.011988,1970-01-01,1970-01-01 00:00:00.000000116,0,0.0
INFY,117,10,0.009398,1970-01-01,1970-01-01 00:00:00.000000116,0,0.0
ITC,117,10,0.00554,1970-01-01,1970-01-01 00:00:00.000000116,0,0.0
TATAELXSI,117,10,0.00304,1970-01-01,1970-01-01 00:00:00.000000116,0,0.0
BHARTIARTL,117,10,0.007222,1970-01-01,1970-01-01 00:00:00.000000116,0,0.0
HDFCBANK,117,10,0.011168,1970-01-01,1970-01-01 00:00:00.000000116,0,0.0
INFY,117,6,0.009736,1970-01-01,1970-01-01 00:00:00.000000116,0,0.0
ITC,117,7,0.00511,1970-01-01,1970-01-01 00:00:00.000000116,0,0.0
TATAELXSI,117,7,0.00292,1970-01-01,1970-01-01 00:00:00.000000116,0,0.0
